Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
14:07:2026,00:15,C,mm,km/h,mm,15,15,14,0.00,0.00,579.7,---,21,57,86,0.0,6.4,SW,WSW,---,---,---,---
14:07:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.6,---,21,57,85,0.0,4.8,SW,SW,---,---,---,---
14:07:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.5,---,21,56,85,0.0,8.0,SSW,WSW,---,---,---,---
14:07:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.4,---,21,56,85,0.0,3.2,W,W,---,---,---,---
14:07:2026,01:15,C,mm,km/h,mm,15,15,15,0.00,0.00,579.2,---,21,56,85,0.0,4.8,SSW,SW,---,---,---,---
14:07:2026,01:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.0,---,21,56,85,0.0,6.4,S,SW,---,---,---,---
14:07:2026,01:45,C,mm,km/h,mm,15,15,14,0.00,0.00,579.0,---,21,56,84,0.0,8.0,SW,SW,---,---,---,---
14:07:2026,02:00,C,mm,km/h,mm,14,15,14,0.00,0.00,578.8,---,21,56,84,0.0,4.8,W,W,---,---,---,---
14:07:2026,02:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.8,---,21,56,84,0.0,4.8,SSW,SSW,---,---,---,---
14:07:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.8,---,21,55,85,0.0,3.2,WSW,SSW,---,---,---,---
14:07:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,21,55,85,0.0,0.0,---,---,---,---,---,---
14:07:2026,03:00,C,mm,km/h,mm,13,14,13,0.00,0.00,578.8,---,21,55,87,0.0,0.0,---,---,---,---,---,---
14:07:2026,03:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.8,---,21,55,85,0.0,1.6,SSW,N,---,---,---,---
14:07:2026,03:30,C,mm,km/h,mm,13,13,13,0.00,0.00,578.7,---,21,55,83,0.0,1.6,WNW,W,---,---,---,---
14:07:2026,03:45,C,mm,km/h,mm,14,14,13,0.00,0.00,578.7,---,21,55,81,0.0,3.2,SW,WSW,---,---,---,---
14:07:2026,04:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,55,81,0.0,1.6,WNW,W,---,---,---,---
14:07:2026,04:15,C,mm,km/h,mm,13,14,13,0.00,0.00,578.6,---,21,55,84,0.0,0.0,---,---,---,---,---,---
14:07:2026,04:30,C,mm,km/h,mm,13,13,13,0.00,0.00,578.7,---,21,55,85,0.0,0.0,---,---,---,---,---,---
14:07:2026,04:45,C,mm,km/h,mm,14,14,13,0.00,0.00,578.7,---,21,54,84,0.0,3.2,ENE,SW,---,---,---,---
14:07:2026,05:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,54,84,0.0,4.8,SSW,S,---,---,---,---
14:07:2026,05:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,54,85,0.0,4.8,WSW,S,---,---,---,---
14:07:2026,05:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.4,---,21,54,86,0.0,4.8,SW,SW,---,---,---,---
14:07:2026,05:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,55,87,0.0,8.0,SSW,SW,---,---,---,---
14:07:2026,06:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,55,87,0.0,3.2,SE,NNW,---,---,---,---
14:07:2026,06:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,55,87,0.0,3.2,SSW,SSW,---,---,---,---
14:07:2026,06:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,21,55,87,0.0,4.8,WSW,WSW,---,---,---,---
14:07:2026,06:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.8,---,21,55,86,0.0,4.8,WSW,W,---,---,---,---
14:07:2026,07:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.0,---,21,55,85,0.0,3.2,WSW,W,---,---,---,---
14:07:2026,07:15,C,mm,km/h,mm,15,15,14,0.00,0.00,579.0,---,21,55,84,0.0,4.8,WSW,W,---,---,---,---
14:07:2026,07:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.0,---,21,54,81,0.0,3.2,WSW,WSW,---,---,---,---
14:07:2026,07:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.0,---,21,54,80,0.0,3.2,W,WSW,---,---,---,---
14:07:2026,08:00,C,mm,km/h,mm,16,16,15,0.00,0.00,579.0,---,21,55,75,0.0,1.6,W,W,---,---,---,---
14:07:2026,08:15,C,mm,km/h,mm,17,17,16,0.00,0.00,579.0,---,21,54,74,0.0,3.2,W,W,---,---,---,---
14:07:2026,08:30,C,mm,km/h,mm,17,17,17,0.00,0.00,579.0,---,21,53,72,0.0,3.2,WSW,WSW,---,---,---,---
14:07:2026,08:45,C,mm,km/h,mm,18,18,17,0.00,0.00,579.0,---,21,53,70,0.0,4.8,SW,WSW,---,---,---,---
14:07:2026,09:00,C,mm,km/h,mm,18,18,17,0.00,0.00,579.0,---,21,53,72,0.0,1.6,WSW,SW,---,---,---,---
14:07:2026,09:15,C,mm,km/h,mm,18,18,18,0.00,0.00,579.0,---,21,53,71,0.0,4.8,NNW,E,---,---,---,---
14:07:2026,09:30,C,mm,km/h,mm,19,19,18,0.00,0.00,579.0,---,21,53,67,1.6,8.0,NW,NW,---,---,---,---
14:07:2026,09:45,C,mm,km/h,mm,20,20,19,0.00,0.00,578.9,---,21,53,64,1.6,6.4,ENE,NW,---,---,---,---
14:07:2026,10:00,C,mm,km/h,mm,20,20,19,0.00,0.00,578.7,---,21,53,63,0.0,4.8,NW,WNW,---,---,---,---
14:07:2026,10:15,C,mm,km/h,mm,20,20,20,0.00,0.00,578.8,---,21,53,62,0.0,3.2,ENE,E,---,---,---,---
