Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
27:04:2026,00:15,C,mm,km/h,mm,17,17,17,0.00,0.00,768.7,---,24,38,58,0.0,0.0,---,---,---,---,---,---
27:04:2026,00:30,C,mm,km/h,mm,17,17,17,0.00,0.00,768.5,---,24,38,60,0.0,0.0,---,---,---,---,---,---
27:04:2026,00:45,C,mm,km/h,mm,16,17,16,0.00,0.00,768.5,---,24,38,62,0.0,0.0,---,---,---,---,---,---
27:04:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,768.4,---,24,38,66,0.0,0.0,---,---,---,---,---,---
27:04:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,768.5,---,24,39,66,0.0,0.0,---,---,---,---,---,---
27:04:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,768.2,---,24,39,68,0.0,4.8,NE,NE,---,---,---,---
27:04:2026,01:45,C,mm,km/h,mm,16,16,16,0.00,0.00,768.1,---,24,39,68,0.0,0.0,---,---,---,---,---,---
27:04:2026,02:00,C,mm,km/h,mm,15,16,15,0.00,0.00,768.0,---,24,39,69,0.0,0.0,---,---,---,---,---,---
27:04:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,768.0,---,24,39,71,0.0,0.0,---,---,---,---,---,---
27:04:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,767.8,---,23,39,72,0.0,0.0,---,---,---,---,---,---
27:04:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,767.7,---,23,39,75,0.0,0.0,---,---,---,---,---,---
27:04:2026,03:00,C,mm,km/h,mm,13,14,13,0.00,0.00,767.8,---,23,40,76,0.0,0.0,---,---,---,---,---,---
27:04:2026,03:15,C,mm,km/h,mm,13,13,13,0.00,0.00,767.6,---,23,40,77,0.0,0.0,---,---,---,---,---,---
27:04:2026,03:30,C,mm,km/h,mm,13,13,13,0.00,0.00,767.6,---,23,40,78,0.0,0.0,---,---,---,---,---,---
27:04:2026,03:45,C,mm,km/h,mm,13,13,13,0.00,0.00,767.5,---,23,40,79,0.0,0.0,---,---,---,---,---,---
27:04:2026,04:00,C,mm,km/h,mm,12,13,12,0.00,0.00,767.5,---,23,40,80,0.0,0.0,---,---,---,---,---,---
27:04:2026,04:15,C,mm,km/h,mm,12,12,12,0.00,0.00,767.6,---,23,40,80,0.0,0.0,---,---,---,---,---,---
27:04:2026,04:30,C,mm,km/h,mm,13,13,12,0.00,0.00,767.6,---,23,40,79,0.0,0.0,---,---,---,---,---,---
27:04:2026,04:45,C,mm,km/h,mm,12,13,12,0.00,0.00,767.6,---,23,40,81,0.0,0.0,---,---,---,---,---,---
27:04:2026,05:00,C,mm,km/h,mm,12,12,12,0.00,0.00,767.7,---,23,40,81,0.0,0.0,---,---,---,---,---,---
27:04:2026,05:15,C,mm,km/h,mm,12,13,12,0.00,0.00,767.9,---,23,40,81,0.0,0.0,---,---,---,---,---,---
27:04:2026,05:30,C,mm,km/h,mm,12,12,12,0.00,0.00,767.9,---,23,40,83,0.0,0.0,---,---,---,---,---,---
27:04:2026,05:45,C,mm,km/h,mm,12,12,12,0.00,0.00,768.2,---,23,41,84,0.0,0.0,---,---,---,---,---,---
27:04:2026,06:00,C,mm,km/h,mm,12,12,12,0.00,0.00,768.3,---,23,41,83,0.0,0.0,---,---,---,---,---,---
27:04:2026,06:15,C,mm,km/h,mm,12,12,12,0.00,0.00,768.4,---,23,41,84,0.0,0.0,---,---,---,---,---,---
27:04:2026,06:30,C,mm,km/h,mm,12,12,12,0.00,0.00,768.7,---,23,41,85,0.0,0.0,---,---,---,---,---,---
27:04:2026,06:45,C,mm,km/h,mm,12,12,11,0.00,0.00,768.7,---,23,42,86,0.0,0.0,---,---,---,---,---,---
27:04:2026,07:00,C,mm,km/h,mm,12,12,11,0.00,0.00,768.9,---,23,43,86,0.0,0.0,---,---,---,---,---,---
27:04:2026,07:15,C,mm,km/h,mm,13,13,12,0.00,0.00,769.0,---,23,43,83,0.0,0.0,---,---,---,---,---,---
27:04:2026,07:30,C,mm,km/h,mm,15,15,13,0.00,0.00,769.1,---,23,42,74,0.0,0.0,---,---,---,---,---,---
27:04:2026,07:45,C,mm,km/h,mm,16,16,15,0.00,0.00,769.2,---,23,42,70,0.0,0.0,---,---,---,---,---,---
27:04:2026,08:00,C,mm,km/h,mm,18,18,16,0.00,0.00,769.2,---,23,42,65,0.0,0.0,---,---,---,---,---,---
27:04:2026,08:15,C,mm,km/h,mm,20,20,18,0.00,0.00,769.3,---,23,42,60,0.0,0.0,---,---,---,---,---,---
27:04:2026,08:30,C,mm,km/h,mm,21,21,20,0.00,0.00,769.4,---,23,42,57,0.0,1.6,ENE,ENE,---,---,---,---
27:04:2026,08:45,C,mm,km/h,mm,22,22,21,0.00,0.00,769.4,---,23,42,52,0.0,1.6,ENE,ENE,---,---,---,---
27:04:2026,09:00,C,mm,km/h,mm,23,23,22,0.00,0.00,769.4,---,23,42,47,0.0,1.6,NE,NNE,---,---,---,---
27:04:2026,09:15,C,mm,km/h,mm,22,23,22,0.00,0.00,769.5,---,23,42,48,0.0,3.2,E,S,---,---,---,---
27:04:2026,09:30,C,mm,km/h,mm,23,23,22,0.00,0.00,769.5,---,23,41,46,0.0,6.4,SSE,SE,---,---,---,---
27:04:2026,09:45,C,mm,km/h,mm,24,24,23,0.00,0.00,769.3,---,23,41,45,0.0,4.8,SW,SE,---,---,---,---
27:04:2026,10:00,C,mm,km/h,mm,24,24,24,0.00,0.00,769.4,---,23,41,41,1.6,6.4,SE,SSE,---,---,---,---
27:04:2026,10:15,C,mm,km/h,mm,25,25,24,0.00,0.00,769.4,---,23,41,40,1.6,6.4,SSE,S,---,---,---,---
27:04:2026,10:30,C,mm,km/h,mm,26,26,24,0.00,0.00,769.3,---,24,41,39,0.0,6.4,SSE,SE,---,---,---,---
27:04:2026,10:45,C,mm,km/h,mm,27,27,26,0.00,0.00,769.2,---,24,41,36,1.6,6.4,NE,NE,---,---,---,---
27:04:2026,11:00,C,mm,km/h,mm,27,27,27,0.00,0.00,769.1,---,24,40,34,1.6,9.7,SSE,NNE,---,---,---,---
27:04:2026,11:15,C,mm,km/h,mm,27,27,27,0.00,0.00,769.0,---,23,37,29,1.6,8.0,SSW,S,---,---,---,---
27:04:2026,11:30,C,mm,km/h,mm,27,27,27,0.00,0.00,768.8,---,23,35,30,1.6,8.0,SSE,SSE,---,---,---,---
27:04:2026,11:45,C,mm,km/h,mm,28,28,27,0.00,0.00,768.7,---,23,35,28,0.0,6.4,S,SE,---,---,---,---
27:04:2026,12:00,C,mm,km/h,mm,29,29,28,0.00,0.00,768.5,---,23,35,28,1.6,8.0,N,NE,---,---,---,---
27:04:2026,12:15,C,mm,km/h,mm,29,29,29,0.00,0.00,768.4,---,23,35,28,1.6,6.4,SSE,SE,---,---,---,---
27:04:2026,12:30,C,mm,km/h,mm,29,29,29,0.00,0.00,768.2,---,23,35,27,1.6,8.0,SW,SE,---,---,---,---
27:04:2026,12:45,C,mm,km/h,mm,28,30,28,0.00,0.00,768.1,---,24,36,26,3.2,12.9,S,SE,---,---,---,---
27:04:2026,13:00,C,mm,km/h,mm,29,29,28,0.00,0.00,767.9,---,24,36,27,3.2,8.0,SSE,SSE,---,---,---,---
27:04:2026,13:15,C,mm,km/h,mm,29,30,29,0.00,0.00,767.6,---,24,36,25,1.6,8.0,S,S,---,---,---,---
27:04:2026,13:30,C,mm,km/h,mm,29,30,29,0.00,0.00,767.6,---,24,36,27,1.6,14.5,NNE,NE,---,---,---,---
27:04:2026,13:45,C,mm,km/h,mm,29,30,29,0.00,0.00,767.3,---,24,35,26,1.6,6.4,SSE,S,---,---,---,---
27:04:2026,14:00,C,mm,km/h,mm,29,30,29,0.00,0.00,767.2,---,24,36,25,1.6,9.7,NE,ENE,---,---,---,---
27:04:2026,14:15,C,mm,km/h,mm,30,30,29,0.00,0.00,766.8,---,25,34,25,1.6,8.0,SE,NNE,---,---,---,---
27:04:2026,14:30,C,mm,km/h,mm,30,30,30,0.00,0.00,766.6,---,25,34,26,3.2,9.7,E,SSE,---,---,---,---
27:04:2026,14:45,C,mm,km/h,mm,30,30,30,0.00,0.00,766.4,---,25,33,25,0.0,6.4,N,NNE,---,---,---,---
27:04:2026,15:00,C,mm,km/h,mm,28,30,28,0.00,0.00,766.4,---,25,34,27,1.6,8.0,SSE,SE,---,---,---,---
27:04:2026,15:15,C,mm,km/h,mm,28,28,28,0.00,0.00,766.3,---,25,33,27,1.6,4.8,SE,SE,---,---,---,---
27:04:2026,15:30,C,mm,km/h,mm,28,28,28,0.00,0.00,766.3,---,25,33,29,0.0,4.8,SE,SE,---,---,---,---
27:04:2026,15:45,C,mm,km/h,mm,28,28,28,0.00,0.00,766.1,---,25,33,27,0.0,1.6,ESE,ESE,---,---,---,---
27:04:2026,16:00,C,mm,km/h,mm,28,28,28,0.00,0.00,766.0,---,25,33,28,0.0,1.6,E,ENE,---,---,---,---
27:04:2026,16:15,C,mm,km/h,mm,28,28,28,0.00,0.00,765.9,---,25,34,27,0.0,3.2,ESE,ESE,---,---,---,---
27:04:2026,16:30,C,mm,km/h,mm,28,28,28,0.00,0.00,765.8,---,25,34,28,0.0,1.6,ESE,ESE,---,---,---,---
27:04:2026,16:45,C,mm,km/h,mm,28,28,28,0.00,0.00,766.0,---,25,34,27,0.0,4.8,SSE,SE,---,---,---,---
27:04:2026,17:00,C,mm,km/h,mm,27,28,27,0.00,0.00,765.9,---,25,34,29,0.0,3.2,SSE,SSE,---,---,---,---
27:04:2026,17:15,C,mm,km/h,mm,27,27,27,0.00,0.00,766.0,---,25,34,28,0.0,0.0,---,---,---,---,---,---
27:04:2026,17:30,C,mm,km/h,mm,27,27,27,0.00,0.00,766.3,---,25,34,31,0.0,1.6,ENE,ENE,---,---,---,---
27:04:2026,17:45,C,mm,km/h,mm,26,27,26,0.00,0.00,766.5,---,25,33,31,4.8,20.9,NNE,NNE,---,---,---,---
27:04:2026,18:00,C,mm,km/h,mm,25,26,25,0.00,0.00,766.6,---,25,33,34,3.2,12.9,N,NE,---,---,---,---
27:04:2026,18:15,C,mm,km/h,mm,24,25,24,0.00,0.00,766.9,---,25,33,35,3.2,16.1,N,NNE,---,---,---,---
27:04:2026,18:30,C,mm,km/h,mm,23,24,23,0.00,0.00,767.3,---,25,33,37,4.8,16.1,N,NNE,---,---,---,---
27:04:2026,18:45,C,mm,km/h,mm,23,23,23,0.00,0.00,767.6,---,25,33,35,1.6,17.7,E,NNE,---,---,---,---
27:04:2026,19:00,C,mm,km/h,mm,23,24,23,0.00,0.00,767.9,---,25,33,34,1.6,8.0,ENE,NE,---,---,---,---
27:04:2026,19:15,C,mm,km/h,mm,23,23,23,0.00,0.00,767.9,---,25,33,34,0.0,4.8,WNW,NNE,---,---,---,---
27:04:2026,19:30,C,mm,km/h,mm,23,23,23,0.00,0.00,768.2,---,25,33,34,0.0,4.8,NNW,NNE,---,---,---,---
27:04:2026,19:45,C,mm,km/h,mm,23,23,23,0.00,0.00,768.4,---,25,33,34,0.0,4.8,ENE,E,---,---,---,---
27:04:2026,20:00,C,mm,km/h,mm,23,23,23,0.00,0.00,768.7,---,25,33,33,0.0,3.2,NE,NE,---,---,---,---
27:04:2026,20:15,C,mm,km/h,mm,23,23,23,0.00,0.00,769.3,---,25,33,44,0.0,4.8,SSE,SSE,---,---,---,---
27:04:2026,20:30,C,mm,km/h,mm,20,23,20,0.00,0.00,769.9,---,25,33,53,1.6,6.4,SSE,SSE,---,---,---,---
27:04:2026,20:45,C,mm,km/h,mm,21,21,20,0.00,0.00,770.4,---,25,34,49,4.8,16.1,NNW,NNW,---,---,---,---
27:04:2026,21:00,C,mm,km/h,mm,20,21,20,0.20,0.00,770.4,---,25,34,49,1.6,6.4,NNW,NNW,---,---,---,---
27:04:2026,21:15,C,mm,km/h,mm,18,20,18,0.00,0.00,769.7,---,25,35,60,3.2,17.7,WSW,SE,---,---,---,---
27:04:2026,21:30,C,mm,km/h,mm,18,18,18,0.00,0.00,769.7,---,25,35,59,3.2,14.5,SSW,SE,---,---,---,---
27:04:2026,21:45,C,mm,km/h,mm,18,18,18,0.00,0.00,769.7,---,25,36,57,3.2,14.5,SE,SE,---,---,---,---
27:04:2026,22:00,C,mm,km/h,mm,19,19,18,0.00,0.00,769.8,---,25,36,55,1.6,8.0,WNW,NW,---,---,---,---
27:04:2026,22:15,C,mm,km/h,mm,19,19,19,0.00,0.00,769.7,---,25,36,55,0.0,1.6,NE,NE,---,---,---,---
27:04:2026,22:30,C,mm,km/h,mm,18,19,18,0.00,0.00,769.5,---,25,36,56,0.0,0.0,---,---,---,---,---,---
27:04:2026,22:45,C,mm,km/h,mm,18,18,18,0.00,0.00,769.4,---,25,36,60,0.0,0.0,---,---,---,---,---,---
27:04:2026,23:00,C,mm,km/h,mm,17,18,17,0.00,0.00,769.5,---,25,37,64,0.0,0.0,---,---,---,---,---,---
27:04:2026,23:15,C,mm,km/h,mm,17,17,17,0.00,0.00,769.5,---,24,37,65,0.0,0.0,---,---,---,---,---,---
27:04:2026,23:30,C,mm,km/h,mm,16,17,16,0.00,0.00,769.3,---,24,37,65,0.0,0.0,---,---,---,---,---,---
27:04:2026,23:45,C,mm,km/h,mm,16,16,16,0.00,0.00,769.3,---,24,37,67,0.0,0.0,---,---,---,---,---,---
