Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
26:04:2026,00:15,C,mm,km/h,mm,19,19,19,0.00,0.00,767.7,---,24,40,63,1.6,6.4,SSE,SSE,---,---,---,---
26:04:2026,00:30,C,mm,km/h,mm,19,19,19,0.00,0.00,767.6,---,24,40,63,3.2,12.9,S,SSE,---,---,---,---
26:04:2026,00:45,C,mm,km/h,mm,18,19,18,0.00,0.00,767.7,---,24,40,63,1.6,8.0,SE,SSE,---,---,---,---
26:04:2026,01:00,C,mm,km/h,mm,18,18,18,0.00,0.00,767.6,---,24,40,63,3.2,9.7,ESE,SSE,---,---,---,---
26:04:2026,05:00,C,mm,km/h,mm,13,13,13,0.00,0.00,766.7,---,23,42,81,0.0,0.0,---,---,---,---,---,---
26:04:2026,05:15,C,mm,km/h,mm,13,13,13,0.00,0.00,766.9,---,23,42,83,0.0,0.0,---,---,---,---,---,---
26:04:2026,05:30,C,mm,km/h,mm,13,13,13,0.00,0.00,766.9,---,23,42,83,0.0,0.0,---,---,---,---,---,---
26:04:2026,05:45,C,mm,km/h,mm,12,13,12,0.00,0.00,767.0,---,23,42,85,0.0,0.0,---,---,---,---,---,---
26:04:2026,06:00,C,mm,km/h,mm,13,13,12,0.00,0.00,767.1,---,23,42,83,0.0,0.0,---,---,---,---,---,---
26:04:2026,07:30,C,mm,km/h,mm,15,15,14,0.00,0.00,768.1,---,23,43,78,0.0,0.0,---,---,---,---,---,---
26:04:2026,07:45,C,mm,km/h,mm,17,17,15,0.00,0.00,768.1,---,23,43,72,0.0,0.0,---,---,---,---,---,---
26:04:2026,08:00,C,mm,km/h,mm,19,19,17,0.00,0.00,768.1,---,23,43,65,0.0,0.0,---,---,---,---,---,---
26:04:2026,08:15,C,mm,km/h,mm,20,20,19,0.00,0.00,768.3,---,23,43,62,0.0,0.0,---,---,---,---,---,---
26:04:2026,08:30,C,mm,km/h,mm,21,21,20,0.00,0.00,768.3,---,23,43,59,0.0,0.0,---,---,---,---,---,---
26:04:2026,08:45,C,mm,km/h,mm,22,23,21,0.00,0.00,768.4,---,23,43,55,0.0,3.2,E,E,---,---,---,---
26:04:2026,09:00,C,mm,km/h,mm,22,22,22,0.00,0.00,768.3,---,23,43,55,0.0,6.4,S,SE,---,---,---,---
26:04:2026,09:15,C,mm,km/h,mm,23,23,22,0.00,0.00,768.4,---,23,43,50,0.0,1.6,SE,SE,---,---,---,---
26:04:2026,09:30,C,mm,km/h,mm,23,23,23,0.00,0.00,768.3,---,23,43,50,0.0,3.2,ESE,SE,---,---,---,---
26:04:2026,09:45,C,mm,km/h,mm,23,23,23,0.00,0.00,768.5,---,23,43,48,1.6,4.8,SSE,SE,---,---,---,---
26:04:2026,11:15,C,mm,km/h,mm,27,27,26,0.00,0.00,767.8,---,23,42,41,1.6,11.3,S,NNE,---,---,---,---
26:04:2026,11:30,C,mm,km/h,mm,27,27,27,0.00,0.00,767.7,---,23,42,37,1.6,8.0,SE,SE,---,---,---,---
26:04:2026,11:45,C,mm,km/h,mm,28,28,27,0.00,0.00,767.6,---,23,42,34,0.0,6.4,SE,NNE,---,---,---,---
26:04:2026,12:00,C,mm,km/h,mm,28,28,28,0.00,0.00,767.4,---,23,42,32,0.0,4.8,SE,SSE,---,---,---,---
26:04:2026,12:15,C,mm,km/h,mm,28,28,28,0.00,0.00,767.3,---,23,42,35,1.6,6.4,SW,SSE,---,---,---,---
26:04:2026,12:30,C,mm,km/h,mm,28,29,28,0.00,0.00,767.1,---,23,42,33,3.2,8.0,SSE,SSE,---,---,---,---
26:04:2026,12:45,C,mm,km/h,mm,28,28,28,0.00,0.00,766.9,---,23,41,31,3.2,11.3,SSW,S,---,---,---,---
26:04:2026,13:00,C,mm,km/h,mm,28,29,28,0.00,0.00,766.6,---,23,41,30,1.6,6.4,S,SSE,---,---,---,---
