Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
20:04:2026,00:15,C,mm,km/h,mm,15,15,15,0.00,0.00,770.5,---,24,38,73,0.0,6.4,WNW,NNW,---,---,---,---
20:04:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,770.6,---,24,39,74,1.6,6.4,WSW,NW,---,---,---,---
20:04:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,770.6,---,24,39,75,0.0,8.0,N,NW,---,---,---,---
20:04:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,770.6,---,24,39,75,0.0,9.7,NNW,N,---,---,---,---
20:04:2026,01:15,C,mm,km/h,mm,15,15,15,0.00,0.00,770.6,---,24,39,75,1.6,11.3,NNW,NNW,---,---,---,---
20:04:2026,01:30,C,mm,km/h,mm,14,15,14,0.00,0.00,770.6,---,23,39,76,1.6,9.7,WNW,NNW,---,---,---,---
20:04:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,770.6,---,23,39,75,1.6,14.5,NNE,NW,---,---,---,---
20:04:2026,02:00,C,mm,km/h,mm,14,14,14,0.00,0.00,770.6,---,23,39,74,3.2,12.9,NNE,NW,---,---,---,---
20:04:2026,02:15,C,mm,km/h,mm,15,15,14,0.00,0.00,770.5,---,23,39,74,1.6,9.7,NW,NNW,---,---,---,---
20:04:2026,02:30,C,mm,km/h,mm,15,15,14,0.00,0.00,770.4,---,23,39,74,1.6,11.3,N,NW,---,---,---,---
20:04:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,770.3,---,23,39,74,1.6,6.4,NW,NNW,---,---,---,---
20:04:2026,03:00,C,mm,km/h,mm,15,15,14,0.00,0.00,770.2,---,23,39,76,0.0,3.2,NW,N,---,---,---,---
20:04:2026,03:15,C,mm,km/h,mm,14,14,14,0.00,0.00,770.1,---,23,39,76,0.0,1.6,ESE,NNW,---,---,---,---
20:04:2026,03:30,C,mm,km/h,mm,14,14,14,0.00,0.00,770.0,---,23,40,77,1.6,6.4,WSW,WNW,---,---,---,---
20:04:2026,03:45,C,mm,km/h,mm,13,14,13,0.00,0.00,769.9,---,23,40,79,1.6,6.4,NE,NW,---,---,---,---
20:04:2026,04:00,C,mm,km/h,mm,13,13,13,0.00,0.00,770.0,---,23,40,79,1.6,8.0,W,NW,---,---,---,---
20:04:2026,04:15,C,mm,km/h,mm,13,13,13,0.00,0.00,769.8,---,23,40,79,0.0,1.6,NNE,NW,---,---,---,---
20:04:2026,04:30,C,mm,km/h,mm,13,13,13,0.00,0.00,769.8,---,23,40,80,0.0,0.0,---,---,---,---,---,---
