Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
27:06:2026,00:15,C,mm,km/h,mm,12,12,12,0.00,0.00,770.2,---,21,55,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,00:30,C,mm,km/h,mm,12,12,12,0.00,0.00,770.4,---,21,55,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,00:45,C,mm,km/h,mm,12,12,12,0.00,0.00,770.5,---,21,55,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,01:00,C,mm,km/h,mm,12,12,12,0.00,0.00,770.6,---,21,55,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,01:15,C,mm,km/h,mm,12,12,12,0.00,0.00,770.6,---,21,55,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,01:30,C,mm,km/h,mm,12,12,12,0.00,0.00,770.7,---,21,55,95,0.0,0.0,---,---,---,---,---,---
27:06:2026,01:45,C,mm,km/h,mm,12,12,12,0.00,0.00,770.9,---,21,55,95,0.0,0.0,---,---,---,---,---,---
27:06:2026,02:00,C,mm,km/h,mm,12,12,12,0.00,0.00,770.9,---,21,55,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,02:15,C,mm,km/h,mm,12,12,12,0.00,0.00,771.0,---,21,55,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,02:30,C,mm,km/h,mm,12,12,12,0.00,0.00,771.1,---,21,55,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,02:45,C,mm,km/h,mm,12,12,12,0.00,0.00,771.1,---,21,55,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,03:00,C,mm,km/h,mm,13,13,12,0.00,0.00,771.2,---,21,55,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,03:15,C,mm,km/h,mm,13,13,13,0.00,0.00,771.2,---,21,55,91,0.0,0.0,---,---,---,---,---,---
27:06:2026,03:30,C,mm,km/h,mm,13,13,13,0.00,0.00,771.4,---,21,55,89,0.0,0.0,---,---,---,---,---,---
27:06:2026,03:45,C,mm,km/h,mm,14,14,13,0.00,0.00,771.3,---,21,55,87,0.0,0.0,---,---,---,---,---,---
27:06:2026,04:00,C,mm,km/h,mm,15,15,14,0.00,0.00,771.4,---,21,55,84,0.0,1.6,NNW,NNW,---,---,---,---
27:06:2026,04:15,C,mm,km/h,mm,16,16,15,0.00,0.00,771.3,---,21,55,79,0.0,1.6,ESE,ESE,---,---,---,---
27:06:2026,04:30,C,mm,km/h,mm,18,18,16,0.00,0.00,771.5,---,21,55,74,0.0,4.8,W,NNW,---,---,---,---
27:06:2026,04:45,C,mm,km/h,mm,19,19,18,0.00,0.00,771.5,---,21,55,68,0.0,4.8,WNW,E,---,---,---,---
27:06:2026,05:00,C,mm,km/h,mm,19,19,19,0.00,0.00,771.6,---,21,55,66,0.0,3.2,WNW,NNE,---,---,---,---
27:06:2026,05:15,C,mm,km/h,mm,20,20,19,0.00,0.00,771.4,---,21,55,65,0.0,1.6,S,S,---,---,---,---
27:06:2026,05:30,C,mm,km/h,mm,20,20,19,0.00,0.00,771.4,---,21,55,64,1.6,6.4,NW,NNW,---,---,---,---
27:06:2026,05:45,C,mm,km/h,mm,20,20,20,0.00,0.00,771.5,---,21,55,64,0.0,6.4,SSE,SE,---,---,---,---
27:06:2026,06:00,C,mm,km/h,mm,22,22,20,0.00,0.00,771.4,---,21,55,59,0.0,3.2,ENE,ENE,---,---,---,---
27:06:2026,06:15,C,mm,km/h,mm,22,22,22,0.00,0.00,771.2,---,21,55,57,0.0,4.8,NNE,NNW,---,---,---,---
27:06:2026,06:30,C,mm,km/h,mm,22,22,22,0.00,0.00,771.2,---,21,55,58,1.6,6.4,NW,SE,---,---,---,---
27:06:2026,06:45,C,mm,km/h,mm,23,23,22,0.00,0.00,771.1,---,21,55,58,0.0,3.2,E,ENE,---,---,---,---
27:06:2026,07:00,C,mm,km/h,mm,23,23,23,0.00,0.00,771.0,---,21,55,55,1.6,8.0,NW,NNW,---,---,---,---
27:06:2026,07:15,C,mm,km/h,mm,22,23,22,0.00,0.00,770.8,---,21,55,57,1.6,11.3,N,NW,---,---,---,---
27:06:2026,07:30,C,mm,km/h,mm,24,24,22,0.00,0.00,770.6,---,21,55,55,1.6,6.4,NNE,NNE,---,---,---,---
27:06:2026,07:45,C,mm,km/h,mm,23,24,23,0.00,0.00,770.5,---,21,55,55,3.2,8.0,WNW,NNW,---,---,---,---
27:06:2026,08:00,C,mm,km/h,mm,24,24,23,0.00,0.00,770.4,---,21,55,52,0.0,4.8,W,WNW,---,---,---,---
27:06:2026,08:15,C,mm,km/h,mm,24,24,24,0.00,0.00,770.2,---,21,55,51,1.6,9.7,WSW,SSE,---,---,---,---
27:06:2026,08:30,C,mm,km/h,mm,25,25,24,0.00,0.00,769.9,---,21,55,48,1.6,9.7,WNW,NW,---,---,---,---
27:06:2026,08:45,C,mm,km/h,mm,24,25,24,0.00,0.00,769.7,---,21,55,52,1.6,9.7,S,SE,---,---,---,---
27:06:2026,09:00,C,mm,km/h,mm,25,25,24,0.00,0.00,769.6,---,21,55,46,1.6,8.0,N,NE,---,---,---,---
27:06:2026,09:15,C,mm,km/h,mm,26,26,25,0.00,0.00,769.4,---,21,54,43,1.6,9.7,NNE,NNE,---,---,---,---
27:06:2026,09:30,C,mm,km/h,mm,26,26,26,0.00,0.00,769.0,---,21,54,47,1.6,8.0,WSW,NNE,---,---,---,---
27:06:2026,09:45,C,mm,km/h,mm,27,27,26,0.00,0.00,768.6,---,21,54,44,1.6,12.9,WNW,NE,---,---,---,---
27:06:2026,10:00,C,mm,km/h,mm,25,27,25,0.00,0.00,768.3,---,22,54,44,1.6,9.7,N,SSE,---,---,---,---
27:06:2026,10:15,C,mm,km/h,mm,25,25,25,0.00,0.00,768.1,---,22,54,45,0.0,6.4,NNE,NNE,---,---,---,---
27:06:2026,10:30,C,mm,km/h,mm,26,26,25,0.00,0.00,768.0,---,22,54,44,1.6,14.5,SW,NE,---,---,---,---
27:06:2026,10:45,C,mm,km/h,mm,25,26,25,0.00,0.00,767.9,---,22,53,44,1.6,11.3,WSW,NNE,---,---,---,---
27:06:2026,11:00,C,mm,km/h,mm,24,25,24,0.00,0.00,767.8,---,22,53,44,0.0,3.2,SE,SSE,---,---,---,---
27:06:2026,11:15,C,mm,km/h,mm,22,24,22,0.00,0.00,768.1,---,22,53,55,3.2,20.9,NNE,NE,---,---,---,---
27:06:2026,11:30,C,mm,km/h,mm,17,22,17,5.20,95.20,769.0,---,22,54,80,4.8,22.5,NNE,NNE,---,---,---,---
27:06:2026,11:45,C,mm,km/h,mm,15,16,15,3.00,54.80,768.6,---,22,55,89,6.4,24.1,N,NNE,---,---,---,---
27:06:2026,12:00,C,mm,km/h,mm,15,15,15,0.40,3.80,768.8,---,22,55,85,1.6,14.5,ENE,NE,---,---,---,---
27:06:2026,12:15,C,mm,km/h,mm,15,16,15,0.20,1.80,768.5,---,22,56,85,0.0,6.4,NW,N,---,---,---,---
27:06:2026,12:30,C,mm,km/h,mm,15,15,15,0.00,0.00,768.7,---,22,56,84,1.6,8.0,NW,NW,---,---,---,---
27:06:2026,12:45,C,mm,km/h,mm,16,16,15,0.00,0.00,769.0,---,22,56,86,0.0,6.4,NW,NW,---,---,---,---
27:06:2026,13:00,C,mm,km/h,mm,16,16,16,0.00,0.00,769.1,---,22,56,88,0.0,1.6,NW,SE,---,---,---,---
27:06:2026,13:15,C,mm,km/h,mm,16,16,15,0.00,0.00,769.1,---,22,56,88,0.0,1.6,SE,S,---,---,---,---
27:06:2026,13:30,C,mm,km/h,mm,16,16,16,0.00,0.00,769.3,---,22,57,88,0.0,3.2,SW,E,---,---,---,---
27:06:2026,13:45,C,mm,km/h,mm,16,16,16,0.00,0.00,769.2,---,22,57,87,0.0,3.2,WSW,ESE,---,---,---,---
27:06:2026,14:00,C,mm,km/h,mm,16,16,16,0.00,0.00,769.7,---,22,57,87,0.0,3.2,WNW,ESE,---,---,---,---
27:06:2026,14:15,C,mm,km/h,mm,16,16,16,0.00,0.00,770.0,---,22,57,88,0.0,0.0,---,---,---,---,---,---
27:06:2026,14:30,C,mm,km/h,mm,16,16,16,0.00,0.00,770.1,---,21,57,89,0.0,0.0,---,---,---,---,---,---
27:06:2026,14:45,C,mm,km/h,mm,16,16,15,1.60,9.00,770.0,---,21,57,90,0.0,0.0,---,---,---,---,---,---
27:06:2026,15:00,C,mm,km/h,mm,15,16,15,0.20,8.40,770.0,---,21,57,91,0.0,0.0,---,---,---,---,---,---
27:06:2026,15:15,C,mm,km/h,mm,15,15,15,0.20,1.00,770.3,---,21,57,89,0.0,1.6,N,NW,---,---,---,---
27:06:2026,15:30,C,mm,km/h,mm,15,15,15,0.00,0.00,770.4,---,21,57,90,0.0,0.0,---,---,---,---,---,---
27:06:2026,15:45,C,mm,km/h,mm,14,15,14,0.00,0.00,770.3,---,21,57,91,0.0,0.0,---,---,---,---,---,---
27:06:2026,16:00,C,mm,km/h,mm,14,15,14,0.00,0.00,770.3,---,21,57,92,0.0,0.0,---,---,---,---,---,---
27:06:2026,16:15,C,mm,km/h,mm,14,14,14,0.00,0.00,770.3,---,21,58,92,0.0,0.0,---,---,---,---,---,---
27:06:2026,16:30,C,mm,km/h,mm,14,14,14,0.00,0.00,770.5,---,21,58,92,0.0,0.0,---,---,---,---,---,---
27:06:2026,16:45,C,mm,km/h,mm,14,14,14,0.00,0.00,770.5,---,21,58,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,17:00,C,mm,km/h,mm,14,14,14,0.00,0.00,770.5,---,21,58,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,17:15,C,mm,km/h,mm,14,14,14,0.00,0.00,770.6,---,21,58,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,17:30,C,mm,km/h,mm,14,15,14,0.00,0.00,770.8,---,21,58,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,17:45,C,mm,km/h,mm,14,15,14,0.00,0.00,770.9,---,21,58,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,18:00,C,mm,km/h,mm,14,14,14,0.00,0.00,771.0,---,21,58,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,18:15,C,mm,km/h,mm,14,14,14,0.00,0.00,771.1,---,21,58,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,18:30,C,mm,km/h,mm,14,14,14,0.00,0.00,771.3,---,21,58,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,18:45,C,mm,km/h,mm,14,14,14,0.00,0.00,771.3,---,21,59,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,19:00,C,mm,km/h,mm,14,14,14,0.00,0.00,771.3,---,21,59,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,19:15,C,mm,km/h,mm,14,14,14,0.00,0.00,771.3,---,21,59,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,19:30,C,mm,km/h,mm,14,14,14,0.00,0.00,771.3,---,21,59,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,19:45,C,mm,km/h,mm,15,15,14,0.00,0.00,771.4,---,21,59,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,20:00,C,mm,km/h,mm,15,15,15,0.00,0.00,771.4,---,21,59,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,20:15,C,mm,km/h,mm,15,15,15,0.00,0.00,771.2,---,21,59,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,20:30,C,mm,km/h,mm,15,15,15,0.00,0.00,771.0,---,21,59,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,20:45,C,mm,km/h,mm,14,15,14,0.00,0.00,770.9,---,21,59,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,21:00,C,mm,km/h,mm,14,14,14,0.00,0.00,770.6,---,21,59,93,0.0,0.0,---,---,---,---,---,---
27:06:2026,21:15,C,mm,km/h,mm,14,14,14,0.00,0.00,770.4,---,21,59,94,0.0,0.0,---,---,---,---,---,---
27:06:2026,21:30,C,mm,km/h,mm,14,14,14,0.00,0.00,770.3,---,21,59,94,0.0,0.0,---,---,---,---,---,---
