Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
23:09:2026,00:15,C,mm,km/h,mm,17,17,17,0.00,0.00,576.3,---,23,50,77,0.0,3.2,SSW,WSW,---,---,---,---
23:09:2026,00:30,C,mm,km/h,mm,16,17,16,0.00,0.00,576.2,---,23,50,78,0.0,1.6,NNE,NNE,---,---,---,---
23:09:2026,00:45,C,mm,km/h,mm,16,16,16,0.00,0.00,576.0,---,23,49,79,0.0,1.6,NNE,NNE,---,---,---,---
23:09:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,575.9,---,23,50,80,0.0,0.0,---,---,---,---,---,---
23:09:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,575.7,---,23,50,80,0.0,3.2,S,NNE,---,---,---,---
23:09:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,575.6,---,23,50,80,0.0,4.8,SW,SW,---,---,---,---
23:09:2026,01:45,C,mm,km/h,mm,15,16,15,0.00,0.00,575.6,---,23,50,81,0.0,1.6,ENE,NE,---,---,---,---
23:09:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,575.6,---,23,50,82,0.0,3.2,SE,ENE,---,---,---,---
23:09:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,575.8,---,23,50,82,0.0,4.8,SSW,SW,---,---,---,---
23:09:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,575.7,---,23,50,83,0.0,6.4,SW,SW,---,---,---,---
23:09:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,575.9,---,23,50,83,0.0,4.8,SSW,SSW,---,---,---,---
23:09:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,575.9,---,23,50,83,0.0,3.2,SSW,SW,---,---,---,---
23:09:2026,03:15,C,mm,km/h,mm,15,15,15,0.00,0.00,575.9,---,22,50,84,0.0,3.2,WSW,SW,---,---,---,---
23:09:2026,03:30,C,mm,km/h,mm,14,15,14,0.00,0.00,576.0,---,22,50,84,0.0,1.6,W,WNW,---,---,---,---
23:09:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,576.0,---,22,50,84,0.0,6.4,WSW,W,---,---,---,---
23:09:2026,04:00,C,mm,km/h,mm,14,14,14,0.00,0.00,576.0,---,22,50,84,0.0,3.2,WNW,W,---,---,---,---
23:09:2026,04:15,C,mm,km/h,mm,14,14,14,0.00,0.00,576.1,---,22,50,84,0.0,0.0,---,---,---,---,---,---
23:09:2026,04:30,C,mm,km/h,mm,14,14,14,0.00,0.00,576.4,---,22,50,85,0.0,0.0,---,---,---,---,---,---
23:09:2026,04:45,C,mm,km/h,mm,14,14,14,0.00,0.00,576.2,---,22,50,85,0.0,0.0,---,---,---,---,---,---
23:09:2026,05:00,C,mm,km/h,mm,14,14,14,0.00,0.00,576.4,---,22,50,86,0.0,0.0,---,---,---,---,---,---
23:09:2026,05:15,C,mm,km/h,mm,14,14,14,0.00,0.00,576.6,---,23,50,85,0.0,0.0,---,---,---,---,---,---
23:09:2026,05:30,C,mm,km/h,mm,14,14,14,0.00,0.00,576.7,---,22,50,84,0.0,0.0,---,---,---,---,---,---
23:09:2026,05:45,C,mm,km/h,mm,15,15,14,0.00,0.00,576.8,---,22,50,82,0.0,1.6,W,W,---,---,---,---
23:09:2026,06:00,C,mm,km/h,mm,15,15,15,0.00,0.00,577.0,---,22,50,81,0.0,1.6,W,W,---,---,---,---
23:09:2026,06:15,C,mm,km/h,mm,16,16,15,0.00,0.00,577.2,---,22,50,79,0.0,0.0,---,---,---,---,---,---
23:09:2026,06:30,C,mm,km/h,mm,17,17,16,0.00,0.00,577.3,---,22,50,77,0.0,1.6,NE,NE,---,---,---,---
23:09:2026,06:45,C,mm,km/h,mm,17,17,17,0.00,0.00,577.3,---,22,50,75,0.0,3.2,SW,SW,---,---,---,---
23:09:2026,07:00,C,mm,km/h,mm,18,18,17,0.00,0.00,577.4,---,23,50,74,0.0,3.2,E,E,---,---,---,---
23:09:2026,07:15,C,mm,km/h,mm,18,18,18,0.00,0.00,577.4,---,23,50,74,0.0,3.2,SW,ENE,---,---,---,---
23:09:2026,07:30,C,mm,km/h,mm,18,18,18,0.00,0.00,577.5,---,23,50,74,0.0,4.8,E,E,---,---,---,---
23:09:2026,07:45,C,mm,km/h,mm,19,19,18,0.00,0.00,577.4,---,23,50,71,0.0,4.8,SW,W,---,---,---,---
23:09:2026,08:00,C,mm,km/h,mm,19,19,19,0.00,0.00,577.5,---,23,49,68,1.6,11.3,WSW,WSW,---,---,---,---
23:09:2026,08:15,C,mm,km/h,mm,20,20,19,0.00,0.00,577.5,---,23,49,65,0.0,6.4,WSW,WSW,---,---,---,---
23:09:2026,08:30,C,mm,km/h,mm,21,21,21,0.00,0.00,577.5,---,23,49,63,0.0,6.4,S,SSW,---,---,---,---
23:09:2026,08:45,C,mm,km/h,mm,21,21,21,0.00,0.00,577.4,---,23,49,63,1.6,6.4,WSW,WSW,---,---,---,---
23:09:2026,09:00,C,mm,km/h,mm,21,21,21,0.00,0.00,577.4,---,23,49,62,0.0,3.2,ENE,ENE,---,---,---,---
