Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
30:05:2026,00:15,C,mm,km/h,mm,13,13,13,0.00,0.00,768.2,---,23,42,81,0.0,0.0,---,---,---,---,---,---
30:05:2026,00:30,C,mm,km/h,mm,13,13,13,0.00,0.00,768.1,---,23,42,83,0.0,0.0,---,---,---,---,---,---
30:05:2026,00:45,C,mm,km/h,mm,13,13,12,0.00,0.00,767.9,---,23,42,82,0.0,0.0,---,---,---,---,---,---
30:05:2026,01:00,C,mm,km/h,mm,13,13,12,0.00,0.00,767.8,---,23,42,83,0.0,0.0,---,---,---,---,---,---
30:05:2026,01:15,C,mm,km/h,mm,12,13,12,0.00,0.00,767.7,---,23,42,84,0.0,0.0,---,---,---,---,---,---
30:05:2026,01:30,C,mm,km/h,mm,12,12,12,0.00,0.00,767.7,---,23,42,87,0.0,0.0,---,---,---,---,---,---
30:05:2026,01:45,C,mm,km/h,mm,12,12,12,0.00,0.00,767.6,---,23,42,86,0.0,0.0,---,---,---,---,---,---
30:05:2026,02:00,C,mm,km/h,mm,11,12,11,0.00,0.00,767.6,---,23,43,88,0.0,0.0,---,---,---,---,---,---
30:05:2026,02:15,C,mm,km/h,mm,12,12,11,0.00,0.00,767.6,---,23,43,87,0.0,0.0,---,---,---,---,---,---
30:05:2026,02:30,C,mm,km/h,mm,11,12,11,0.00,0.00,767.6,---,23,43,87,0.0,0.0,---,---,---,---,---,---
30:05:2026,02:45,C,mm,km/h,mm,11,11,11,0.00,0.00,767.6,---,23,43,88,0.0,0.0,---,---,---,---,---,---
30:05:2026,03:00,C,mm,km/h,mm,11,11,11,0.00,0.00,767.5,---,23,43,89,0.0,0.0,---,---,---,---,---,---
30:05:2026,03:15,C,mm,km/h,mm,11,11,11,0.00,0.00,767.5,---,22,43,89,0.0,0.0,---,---,---,---,---,---
30:05:2026,03:30,C,mm,km/h,mm,11,11,11,0.00,0.00,767.6,---,22,43,89,0.0,0.0,---,---,---,---,---,---
30:05:2026,03:45,C,mm,km/h,mm,11,11,11,0.00,0.00,767.6,---,22,43,88,0.0,0.0,---,---,---,---,---,---
30:05:2026,04:00,C,mm,km/h,mm,11,11,11,0.00,0.00,767.7,---,22,43,89,0.0,0.0,---,---,---,---,---,---
30:05:2026,04:15,C,mm,km/h,mm,11,11,11,0.00,0.00,767.7,---,22,43,88,0.0,0.0,---,---,---,---,---,---
30:05:2026,04:30,C,mm,km/h,mm,11,11,11,0.00,0.00,767.9,---,22,43,86,0.0,0.0,---,---,---,---,---,---
30:05:2026,04:45,C,mm,km/h,mm,11,11,11,0.00,0.00,767.8,---,22,43,83,0.0,0.0,---,---,---,---,---,---
30:05:2026,05:00,C,mm,km/h,mm,10,11,10,0.00,0.00,767.9,---,22,43,82,0.0,0.0,---,---,---,---,---,---
30:05:2026,05:15,C,mm,km/h,mm,11,11,10,0.00,0.00,768.2,---,22,43,83,0.0,0.0,---,---,---,---,---,---
30:05:2026,05:30,C,mm,km/h,mm,11,11,11,0.00,0.00,768.3,---,22,43,80,0.0,0.0,---,---,---,---,---,---
30:05:2026,05:45,C,mm,km/h,mm,12,12,11,0.00,0.00,768.5,---,22,43,76,0.0,0.0,---,---,---,---,---,---
30:05:2026,06:00,C,mm,km/h,mm,14,14,12,0.00,0.00,768.6,---,22,42,69,0.0,0.0,---,---,---,---,---,---
30:05:2026,06:15,C,mm,km/h,mm,15,15,14,0.00,0.00,768.7,---,22,42,66,0.0,0.0,---,---,---,---,---,---
30:05:2026,06:30,C,mm,km/h,mm,17,17,15,0.00,0.00,768.8,---,22,42,62,0.0,0.0,---,---,---,---,---,---
30:05:2026,06:45,C,mm,km/h,mm,18,18,17,0.00,0.00,768.9,---,22,42,59,0.0,0.0,---,---,---,---,---,---
30:05:2026,07:00,C,mm,km/h,mm,18,18,18,0.00,0.00,768.9,---,22,42,59,0.0,1.6,S,SSE,---,---,---,---
30:05:2026,07:15,C,mm,km/h,mm,19,19,18,0.00,0.00,768.9,---,22,42,56,0.0,3.2,ESE,ESE,---,---,---,---
30:05:2026,07:30,C,mm,km/h,mm,20,20,19,0.00,0.00,768.8,---,22,42,52,0.0,3.2,ESE,ESE,---,---,---,---
30:05:2026,07:45,C,mm,km/h,mm,20,20,20,0.00,0.00,768.9,---,22,42,52,0.0,3.2,SE,SE,---,---,---,---
30:05:2026,08:00,C,mm,km/h,mm,22,22,20,0.00,0.00,768.9,---,22,42,46,0.0,1.6,E,E,---,---,---,---
30:05:2026,08:15,C,mm,km/h,mm,22,22,22,0.00,0.00,768.9,---,22,42,45,0.0,3.2,SSE,WNW,---,---,---,---
30:05:2026,08:30,C,mm,km/h,mm,23,23,22,0.00,0.00,768.9,---,22,42,45,3.2,9.7,NW,NW,---,---,---,---
30:05:2026,08:45,C,mm,km/h,mm,23,23,23,0.00,0.00,768.9,---,22,42,43,1.6,4.8,NE,SE,---,---,---,---
30:05:2026,09:00,C,mm,km/h,mm,24,24,23,0.00,0.00,768.9,---,22,42,40,1.6,8.0,NE,NE,---,---,---,---
30:05:2026,09:15,C,mm,km/h,mm,25,25,24,0.00,0.00,768.8,---,22,42,30,3.2,12.9,ENE,NW,---,---,---,---
30:05:2026,09:30,C,mm,km/h,mm,26,26,25,0.00,0.00,768.7,---,22,42,30,3.2,16.1,WNW,WNW,---,---,---,---
30:05:2026,09:45,C,mm,km/h,mm,26,26,26,0.00,0.00,768.5,---,22,41,28,3.2,11.3,N,NNW,---,---,---,---
30:05:2026,10:00,C,mm,km/h,mm,26,26,26,0.00,0.00,768.3,---,22,41,31,3.2,11.3,NNW,NW,---,---,---,---
30:05:2026,10:15,C,mm,km/h,mm,26,26,26,0.00,0.00,768.3,---,22,41,30,3.2,11.3,NW,NW,---,---,---,---
30:05:2026,10:30,C,mm,km/h,mm,26,27,26,0.00,0.00,768.2,---,22,40,31,3.2,11.3,NNW,NNW,---,---,---,---
30:05:2026,10:45,C,mm,km/h,mm,27,27,26,0.00,0.00,768.0,---,22,40,31,1.6,9.7,NW,NE,---,---,---,---
30:05:2026,11:00,C,mm,km/h,mm,28,28,27,0.00,0.00,767.8,---,22,40,29,1.6,8.0,NE,NE,---,---,---,---
30:05:2026,11:15,C,mm,km/h,mm,28,28,27,0.00,0.00,767.7,---,22,40,30,3.2,14.5,NW,NE,---,---,---,---
30:05:2026,11:30,C,mm,km/h,mm,28,28,27,0.00,0.00,767.5,---,22,40,31,1.6,9.7,NW,WNW,---,---,---,---
30:05:2026,11:45,C,mm,km/h,mm,28,28,28,0.00,0.00,767.4,---,22,39,27,3.2,14.5,WNW,NW,---,---,---,---
30:05:2026,12:00,C,mm,km/h,mm,29,29,28,0.00,0.00,767.3,---,22,39,28,3.2,12.9,N,NNE,---,---,---,---
30:05:2026,12:15,C,mm,km/h,mm,29,29,29,0.00,0.00,767.2,---,22,39,28,6.4,20.9,NNE,NNE,---,---,---,---
30:05:2026,12:30,C,mm,km/h,mm,29,29,28,0.00,0.00,766.9,---,22,39,29,4.8,20.9,NW,NW,---,---,---,---
30:05:2026,12:45,C,mm,km/h,mm,29,29,28,0.00,0.00,766.7,---,22,39,26,4.8,17.7,NNE,NNE,---,---,---,---
30:05:2026,13:00,C,mm,km/h,mm,29,29,29,0.00,0.00,766.6,---,22,38,24,6.4,20.9,WNW,NW,---,---,---,---
30:05:2026,13:15,C,mm,km/h,mm,29,29,29,0.00,0.00,766.5,---,23,38,22,4.8,14.5,NW,NE,---,---,---,---
30:05:2026,13:30,C,mm,km/h,mm,29,29,29,0.00,0.00,766.5,---,23,37,25,6.4,20.9,NW,NW,---,---,---,---
30:05:2026,13:45,C,mm,km/h,mm,29,29,29,0.00,0.00,766.3,---,23,37,25,6.4,16.1,NW,NW,---,---,---,---
30:05:2026,14:00,C,mm,km/h,mm,29,29,29,0.00,0.00,766.1,---,23,37,25,4.8,24.1,NE,NW,---,---,---,---
30:05:2026,14:15,C,mm,km/h,mm,29,29,29,0.00,0.00,766.1,---,23,37,26,4.8,14.5,NW,NNW,---,---,---,---
30:05:2026,14:30,C,mm,km/h,mm,28,29,28,0.00,0.00,765.9,---,23,37,26,8.0,22.5,NNW,NW,---,---,---,---
30:05:2026,14:45,C,mm,km/h,mm,29,29,28,0.00,0.00,765.7,---,23,36,26,4.8,19.3,NW,NW,---,---,---,---
30:05:2026,15:00,C,mm,km/h,mm,28,29,28,0.00,0.00,765.6,---,23,36,27,6.4,19.3,NW,NW,---,---,---,---
30:05:2026,15:15,C,mm,km/h,mm,29,29,28,0.00,0.00,765.6,---,23,36,25,4.8,19.3,NNE,NW,---,---,---,---
30:05:2026,15:30,C,mm,km/h,mm,28,29,28,0.00,0.00,765.6,---,23,36,23,4.8,19.3,WSW,NNW,---,---,---,---
