Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
11:05:2026,00:15,C,mm,km/h,mm,16,16,16,0.00,0.00,770.8,---,23,46,80,0.0,0.0,---,---,---,---,---,---
11:05:2026,00:30,C,mm,km/h,mm,16,16,16,0.00,0.00,770.7,---,23,46,84,0.0,0.0,---,---,---,---,---,---
11:05:2026,00:45,C,mm,km/h,mm,15,16,15,0.00,0.00,770.5,---,23,46,84,0.0,0.0,---,---,---,---,---,---
11:05:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,770.4,---,23,47,84,0.0,0.0,---,---,---,---,---,---
11:05:2026,01:15,C,mm,km/h,mm,15,15,15,0.00,0.00,770.4,---,23,47,85,0.0,0.0,---,---,---,---,---,---
11:05:2026,01:30,C,mm,km/h,mm,15,15,15,0.00,0.00,770.3,---,23,47,85,0.0,0.0,---,---,---,---,---,---
11:05:2026,01:45,C,mm,km/h,mm,15,15,15,0.00,0.00,770.2,---,23,47,84,0.0,0.0,---,---,---,---,---,---
11:05:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,770.1,---,23,47,83,0.0,0.0,---,---,---,---,---,---
11:05:2026,02:15,C,mm,km/h,mm,16,16,15,0.00,0.00,770.0,---,23,47,82,0.0,0.0,---,---,---,---,---,---
11:05:2026,02:30,C,mm,km/h,mm,16,16,16,0.00,0.00,769.9,---,23,47,82,0.0,0.0,---,---,---,---,---,---
11:05:2026,02:45,C,mm,km/h,mm,15,16,15,0.00,0.00,769.8,---,23,47,82,0.0,0.0,---,---,---,---,---,---
11:05:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,769.7,---,23,47,83,0.0,0.0,---,---,---,---,---,---
11:05:2026,03:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.7,---,23,47,84,0.0,0.0,---,---,---,---,---,---
11:05:2026,03:30,C,mm,km/h,mm,14,15,14,0.00,0.00,769.5,---,23,47,86,0.0,0.0,---,---,---,---,---,---
11:05:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,769.4,---,23,47,87,0.0,0.0,---,---,---,---,---,---
11:05:2026,04:00,C,mm,km/h,mm,14,14,14,0.00,0.00,769.4,---,23,47,88,0.0,0.0,---,---,---,---,---,---
11:05:2026,04:15,C,mm,km/h,mm,14,14,14,0.00,0.00,769.5,---,23,47,89,0.0,0.0,---,---,---,---,---,---
