Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
26:05:2026,00:15,C,mm,km/h,mm,12,12,12,0.00,0.00,768.1,---,22,47,85,0.0,0.0,---,---,---,---,---,---
26:05:2026,00:30,C,mm,km/h,mm,12,12,12,0.00,0.00,767.9,---,22,47,87,0.0,0.0,---,---,---,---,---,---
26:05:2026,00:45,C,mm,km/h,mm,13,13,12,0.00,0.00,767.7,---,22,47,88,0.0,0.0,---,---,---,---,---,---
26:05:2026,01:00,C,mm,km/h,mm,13,13,13,0.00,0.00,767.5,---,22,47,87,0.0,0.0,---,---,---,---,---,---
26:05:2026,01:15,C,mm,km/h,mm,13,13,13,0.00,0.00,767.2,---,22,47,87,0.0,0.0,---,---,---,---,---,---
26:05:2026,01:30,C,mm,km/h,mm,12,13,12,0.00,0.00,767.2,---,22,47,88,0.0,0.0,---,---,---,---,---,---
26:05:2026,01:45,C,mm,km/h,mm,12,12,12,0.00,0.00,766.9,---,22,47,90,0.0,0.0,---,---,---,---,---,---
26:05:2026,02:00,C,mm,km/h,mm,11,12,11,0.00,0.00,766.9,---,22,47,90,0.0,0.0,---,---,---,---,---,---
26:05:2026,02:15,C,mm,km/h,mm,11,11,11,0.00,0.00,767.0,---,22,47,91,0.0,0.0,---,---,---,---,---,---
26:05:2026,02:30,C,mm,km/h,mm,11,11,11,0.00,0.00,767.1,---,22,47,92,0.0,0.0,---,---,---,---,---,---
26:05:2026,02:45,C,mm,km/h,mm,11,11,11,0.00,0.00,767.1,---,22,47,92,0.0,0.0,---,---,---,---,---,---
26:05:2026,03:00,C,mm,km/h,mm,11,11,11,0.00,0.00,767.2,---,22,48,93,0.0,0.0,---,---,---,---,---,---
26:05:2026,03:15,C,mm,km/h,mm,11,11,11,0.00,0.00,767.1,---,22,48,93,0.0,0.0,---,---,---,---,---,---
26:05:2026,03:30,C,mm,km/h,mm,11,11,11,0.00,0.00,767.4,---,22,48,94,0.0,0.0,---,---,---,---,---,---
26:05:2026,03:45,C,mm,km/h,mm,11,11,11,0.00,0.00,767.5,---,22,48,94,0.0,0.0,---,---,---,---,---,---
26:05:2026,04:00,C,mm,km/h,mm,11,11,11,0.00,0.00,767.6,---,22,48,94,0.0,0.0,---,---,---,---,---,---
26:05:2026,04:15,C,mm,km/h,mm,11,11,11,0.00,0.00,767.7,---,22,48,94,0.0,0.0,---,---,---,---,---,---
26:05:2026,04:30,C,mm,km/h,mm,11,11,11,0.00,0.00,767.7,---,22,48,94,0.0,0.0,---,---,---,---,---,---
26:05:2026,04:45,C,mm,km/h,mm,10,11,10,0.00,0.00,767.8,---,22,48,94,0.0,0.0,---,---,---,---,---,---
26:05:2026,05:00,C,mm,km/h,mm,11,11,10,0.00,0.00,767.9,---,22,48,95,0.0,0.0,---,---,---,---,---,---
26:05:2026,05:15,C,mm,km/h,mm,11,11,11,0.00,0.00,768.1,---,22,48,95,0.0,0.0,---,---,---,---,---,---
26:05:2026,05:30,C,mm,km/h,mm,12,12,11,0.00,0.00,768.1,---,22,48,93,0.0,0.0,---,---,---,---,---,---
26:05:2026,05:45,C,mm,km/h,mm,13,13,12,0.00,0.00,768.3,---,22,48,88,0.0,1.6,NNW,NNW,---,---,---,---
26:05:2026,06:00,C,mm,km/h,mm,14,14,13,0.00,0.00,768.3,---,22,48,84,0.0,0.0,---,---,---,---,---,---
26:05:2026,06:15,C,mm,km/h,mm,15,15,14,0.00,0.00,768.4,---,22,48,81,0.0,0.0,---,---,---,---,---,---
26:05:2026,06:30,C,mm,km/h,mm,16,16,15,0.00,0.00,768.4,---,22,48,79,0.0,0.0,---,---,---,---,---,---
26:05:2026,06:45,C,mm,km/h,mm,17,17,16,0.00,0.00,768.6,---,22,48,76,0.0,1.6,SSE,SE,---,---,---,---
26:05:2026,07:00,C,mm,km/h,mm,18,18,17,0.00,0.00,768.6,---,22,48,72,0.0,3.2,SE,SE,---,---,---,---
26:05:2026,07:15,C,mm,km/h,mm,18,18,18,0.00,0.00,768.6,---,22,49,70,0.0,1.6,SE,SE,---,---,---,---
26:05:2026,07:30,C,mm,km/h,mm,19,19,18,0.00,0.00,768.7,---,22,49,67,0.0,3.2,SE,SSE,---,---,---,---
26:05:2026,07:45,C,mm,km/h,mm,20,20,19,0.00,0.00,768.9,---,22,49,64,0.0,3.2,S,SSE,---,---,---,---
26:05:2026,08:00,C,mm,km/h,mm,21,21,20,0.00,0.00,769.0,---,22,48,63,0.0,6.4,NE,NE,---,---,---,---
26:05:2026,08:15,C,mm,km/h,mm,22,22,21,0.00,0.00,768.8,---,22,48,56,0.0,3.2,NNW,NNW,---,---,---,---
26:05:2026,08:30,C,mm,km/h,mm,22,22,22,0.00,0.00,768.7,---,22,48,57,0.0,3.2,SSE,SE,---,---,---,---
26:05:2026,08:45,C,mm,km/h,mm,23,23,22,0.00,0.00,768.7,---,23,48,56,0.0,9.7,NW,NNW,---,---,---,---
26:05:2026,09:00,C,mm,km/h,mm,24,24,22,0.00,0.00,768.6,---,23,48,49,1.6,4.8,NW,S,---,---,---,---
26:05:2026,09:15,C,mm,km/h,mm,24,24,24,0.00,0.00,768.4,---,23,48,49,1.6,9.7,SSE,SSE,---,---,---,---
26:05:2026,09:30,C,mm,km/h,mm,24,24,24,0.00,0.00,768.3,---,23,47,50,1.6,6.4,SE,SSE,---,---,---,---
26:05:2026,09:45,C,mm,km/h,mm,25,25,24,0.00,0.00,768.2,---,23,47,49,1.6,6.4,SE,SE,---,---,---,---
26:05:2026,10:00,C,mm,km/h,mm,26,26,25,0.00,0.00,768.1,---,23,47,45,1.6,9.7,NNW,NNE,---,---,---,---
26:05:2026,10:15,C,mm,km/h,mm,26,26,25,0.00,0.00,767.9,---,23,47,43,1.6,6.4,SE,SE,---,---,---,---
26:05:2026,10:30,C,mm,km/h,mm,26,26,25,0.00,0.00,767.9,---,23,47,43,0.0,6.4,NNE,NE,---,---,---,---
26:05:2026,10:45,C,mm,km/h,mm,26,27,26,0.00,0.00,767.6,---,23,47,41,0.0,6.4,NNE,SSE,---,---,---,---
26:05:2026,11:00,C,mm,km/h,mm,27,27,26,0.00,0.00,767.4,---,23,48,42,1.6,8.0,SSE,SSE,---,---,---,---
26:05:2026,11:15,C,mm,km/h,mm,27,27,27,0.00,0.00,767.3,---,23,48,42,1.6,8.0,N,NNE,---,---,---,---
26:05:2026,11:30,C,mm,km/h,mm,26,27,26,0.00,0.00,767.0,---,23,48,42,1.6,6.4,S,SSE,---,---,---,---
26:05:2026,11:45,C,mm,km/h,mm,26,26,26,0.00,0.00,766.7,---,23,48,41,1.6,12.9,SSE,SSE,---,---,---,---
26:05:2026,12:00,C,mm,km/h,mm,28,28,26,0.00,0.00,766.5,---,23,46,38,3.2,12.9,NW,NW,---,---,---,---
26:05:2026,12:15,C,mm,km/h,mm,28,28,28,0.00,0.00,766.4,---,23,46,39,1.6,6.4,NNE,NW,---,---,---,---
26:05:2026,12:30,C,mm,km/h,mm,27,28,27,0.00,0.00,766.0,---,24,46,40,1.6,11.3,SE,S,---,---,---,---
26:05:2026,12:45,C,mm,km/h,mm,29,29,27,0.00,0.00,765.8,---,24,45,31,3.2,14.5,NNW,NW,---,---,---,---
26:05:2026,13:00,C,mm,km/h,mm,29,29,29,0.00,0.00,765.4,---,24,43,30,3.2,12.9,W,NW,---,---,---,---
26:05:2026,13:15,C,mm,km/h,mm,28,29,28,0.00,0.00,765.2,---,24,43,35,1.6,9.7,NNE,NNE,---,---,---,---
26:05:2026,13:30,C,mm,km/h,mm,27,28,27,0.00,0.00,765.4,---,24,43,32,1.6,9.7,N,NW,---,---,---,---
26:05:2026,13:45,C,mm,km/h,mm,27,27,27,0.00,0.00,765.0,---,24,43,35,1.6,8.0,NNW,NNW,---,---,---,---
26:05:2026,14:00,C,mm,km/h,mm,25,27,25,0.00,0.00,765.1,---,24,43,40,4.8,14.5,SE,SSE,---,---,---,---
26:05:2026,14:15,C,mm,km/h,mm,24,25,24,0.00,0.00,765.3,---,24,43,43,4.8,14.5,SSE,SSE,---,---,---,---
26:05:2026,14:30,C,mm,km/h,mm,23,24,23,0.00,0.00,765.4,---,24,43,49,3.2,11.3,SSE,SSE,---,---,---,---
26:05:2026,14:45,C,mm,km/h,mm,23,23,23,0.00,0.00,765.5,---,24,43,51,1.6,12.9,SSE,SSE,---,---,---,---
26:05:2026,15:00,C,mm,km/h,mm,22,23,22,0.00,0.00,765.5,---,24,43,52,6.4,14.5,SSE,SSE,---,---,---,---
26:05:2026,15:15,C,mm,km/h,mm,21,22,21,0.00,0.00,765.4,---,24,43,52,6.4,14.5,SE,SSE,---,---,---,---
26:05:2026,15:30,C,mm,km/h,mm,21,21,21,0.00,0.00,765.4,---,24,43,54,3.2,12.9,SE,SSE,---,---,---,---
26:05:2026,15:45,C,mm,km/h,mm,20,21,20,0.00,0.00,765.7,---,24,43,62,1.6,8.0,SSW,SE,---,---,---,---
26:05:2026,16:00,C,mm,km/h,mm,20,20,20,0.00,0.00,766.4,---,24,43,60,3.2,12.9,NNE,NE,---,---,---,---
26:05:2026,16:15,C,mm,km/h,mm,20,20,20,0.00,0.00,766.5,---,24,44,63,1.6,9.7,N,NNE,---,---,---,---
26:05:2026,16:30,C,mm,km/h,mm,18,20,18,0.00,0.00,766.9,---,24,44,69,3.2,11.3,ENE,NNE,---,---,---,---
26:05:2026,16:45,C,mm,km/h,mm,18,18,18,0.00,0.00,767.0,---,24,45,69,1.6,8.0,N,NE,---,---,---,---
26:05:2026,17:00,C,mm,km/h,mm,18,18,18,0.00,0.00,767.0,---,24,45,70,0.0,3.2,SE,SE,---,---,---,---
26:05:2026,17:15,C,mm,km/h,mm,18,18,18,0.00,0.00,767.3,---,24,45,70,0.0,3.2,SE,S,---,---,---,---
26:05:2026,17:30,C,mm,km/h,mm,18,18,18,0.00,0.00,767.5,---,24,45,71,0.0,1.6,S,S,---,---,---,---
26:05:2026,17:45,C,mm,km/h,mm,18,18,18,0.00,0.00,767.5,---,24,45,69,0.0,1.6,SSE,SSE,---,---,---,---
26:05:2026,18:00,C,mm,km/h,mm,18,18,18,0.00,0.00,767.6,---,23,45,67,0.0,3.2,SSW,SSE,---,---,---,---
26:05:2026,18:15,C,mm,km/h,mm,18,18,18,0.00,0.00,767.5,---,23,45,67,0.0,3.2,SE,SE,---,---,---,---
26:05:2026,18:30,C,mm,km/h,mm,18,18,18,0.00,0.00,767.8,---,23,45,68,0.0,1.6,SE,SE,---,---,---,---
26:05:2026,18:45,C,mm,km/h,mm,18,18,18,0.00,0.00,767.7,---,23,45,70,0.0,0.0,---,---,---,---,---,---
26:05:2026,19:00,C,mm,km/h,mm,18,18,18,0.00,0.00,767.7,---,23,46,70,0.0,0.0,---,---,---,---,---,---
26:05:2026,19:15,C,mm,km/h,mm,18,18,17,0.00,0.00,767.7,---,23,46,67,0.0,4.8,SSE,SE,---,---,---,---
26:05:2026,19:30,C,mm,km/h,mm,18,18,18,0.00,0.00,767.7,---,23,46,67,0.0,4.8,SSE,SSE,---,---,---,---
26:05:2026,19:45,C,mm,km/h,mm,18,18,18,0.00,0.00,767.7,---,23,46,68,0.0,0.0,---,---,---,---,---,---
26:05:2026,20:00,C,mm,km/h,mm,18,18,18,0.00,0.00,767.5,---,23,46,72,0.0,0.0,---,---,---,---,---,---
26:05:2026,20:15,C,mm,km/h,mm,17,18,17,0.00,0.00,767.7,---,23,46,73,0.0,0.0,---,---,---,---,---,---
26:05:2026,20:30,C,mm,km/h,mm,17,17,17,0.00,0.00,767.7,---,23,46,73,0.0,0.0,---,---,---,---,---,---
26:05:2026,20:45,C,mm,km/h,mm,17,17,17,0.00,0.00,767.7,---,23,46,75,0.0,0.0,---,---,---,---,---,---
26:05:2026,21:00,C,mm,km/h,mm,16,17,16,0.00,0.00,767.7,---,23,46,77,0.0,0.0,---,---,---,---,---,---
26:05:2026,21:15,C,mm,km/h,mm,16,16,16,0.00,0.00,767.7,---,23,47,78,0.0,0.0,---,---,---,---,---,---
26:05:2026,21:30,C,mm,km/h,mm,16,16,16,0.00,0.00,767.8,---,23,47,78,0.0,0.0,---,---,---,---,---,---
26:05:2026,21:45,C,mm,km/h,mm,16,16,16,0.00,0.00,767.8,---,23,47,78,0.0,0.0,---,---,---,---,---,---
26:05:2026,22:00,C,mm,km/h,mm,16,16,16,0.00,0.00,767.8,---,23,47,78,0.0,0.0,---,---,---,---,---,---
26:05:2026,22:15,C,mm,km/h,mm,16,16,16,0.00,0.00,767.8,---,23,47,79,0.0,0.0,---,---,---,---,---,---
26:05:2026,22:30,C,mm,km/h,mm,16,16,16,0.00,0.00,767.4,---,23,47,78,0.0,0.0,---,---,---,---,---,---
26:05:2026,22:45,C,mm,km/h,mm,16,16,16,0.00,0.00,767.4,---,23,47,78,0.0,0.0,---,---,---,---,---,---
26:05:2026,23:00,C,mm,km/h,mm,15,16,15,0.00,0.00,767.4,---,23,47,81,0.0,0.0,---,---,---,---,---,---
26:05:2026,23:15,C,mm,km/h,mm,15,15,15,0.00,0.00,767.2,---,23,47,82,0.0,0.0,---,---,---,---,---,---
26:05:2026,23:30,C,mm,km/h,mm,15,15,15,0.00,0.00,767.1,---,23,47,84,0.0,0.0,---,---,---,---,---,---
26:05:2026,23:45,C,mm,km/h,mm,14,15,14,0.00,0.00,766.9,---,23,48,85,0.0,0.0,---,---,---,---,---,---
