Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
04:05:2026,00:15,C,mm,km/h,mm,16,16,16,0.00,0.00,770.2,---,24,48,90,0.0,0.0,---,---,---,---,---,---
04:05:2026,00:30,C,mm,km/h,mm,16,16,16,0.00,0.00,770.0,---,24,48,91,0.0,0.0,---,---,---,---,---,---
04:05:2026,00:45,C,mm,km/h,mm,16,16,16,0.00,0.00,770.0,---,24,48,90,0.0,0.0,---,---,---,---,---,---
04:05:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,770.0,---,24,48,89,0.0,0.0,---,---,---,---,---,---
04:05:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,769.7,---,24,48,89,0.0,0.0,---,---,---,---,---,---
04:05:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,769.6,---,24,48,89,0.0,0.0,---,---,---,---,---,---
04:05:2026,01:45,C,mm,km/h,mm,15,16,15,0.00,0.00,769.6,---,24,48,90,0.0,0.0,---,---,---,---,---,---
04:05:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,769.4,---,24,48,90,0.0,0.0,---,---,---,---,---,---
04:05:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.3,---,24,48,90,0.0,0.0,---,---,---,---,---,---
04:05:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,769.2,---,24,48,89,0.0,0.0,---,---,---,---,---,---
04:05:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,769.2,---,24,48,89,0.0,0.0,---,---,---,---,---,---
04:05:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,769.0,---,24,48,91,0.0,0.0,---,---,---,---,---,---
04:05:2026,03:15,C,mm,km/h,mm,14,15,14,0.00,0.00,769.2,---,24,48,91,0.0,0.0,---,---,---,---,---,---
04:05:2026,03:30,C,mm,km/h,mm,14,14,14,0.00,0.00,768.9,---,24,48,92,0.0,0.0,---,---,---,---,---,---
