Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
19:05:2026,00:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.5,---,24,45,80,0.0,0.0,---,---,---,---,---,---
19:05:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,769.3,---,24,45,80,0.0,0.0,---,---,---,---,---,---
19:05:2026,00:45,C,mm,km/h,mm,15,15,14,0.00,0.00,769.3,---,24,45,81,0.0,0.0,---,---,---,---,---,---
19:05:2026,01:00,C,mm,km/h,mm,14,15,14,0.00,0.00,769.2,---,23,45,81,0.0,0.0,---,---,---,---,---,---
19:05:2026,01:15,C,mm,km/h,mm,14,14,14,0.00,0.00,769.1,---,23,45,83,0.0,0.0,---,---,---,---,---,---
19:05:2026,01:30,C,mm,km/h,mm,14,14,14,0.00,0.00,768.9,---,23,46,84,0.0,0.0,---,---,---,---,---,---
19:05:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,768.8,---,23,46,84,0.0,0.0,---,---,---,---,---,---
19:05:2026,02:00,C,mm,km/h,mm,14,14,14,0.00,0.00,768.8,---,23,46,84,0.0,0.0,---,---,---,---,---,---
19:05:2026,02:15,C,mm,km/h,mm,14,14,14,0.00,0.00,768.8,---,23,46,85,0.0,0.0,---,---,---,---,---,---
19:05:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,768.8,---,23,46,85,0.0,0.0,---,---,---,---,---,---
19:05:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,768.7,---,23,46,84,0.0,0.0,---,---,---,---,---,---
19:05:2026,03:00,C,mm,km/h,mm,13,14,13,0.00,0.00,768.8,---,23,46,85,0.0,0.0,---,---,---,---,---,---
19:05:2026,03:15,C,mm,km/h,mm,13,13,13,0.00,0.00,768.9,---,23,46,87,0.0,0.0,---,---,---,---,---,---
19:05:2026,03:30,C,mm,km/h,mm,13,13,13,0.00,0.00,768.9,---,23,46,87,0.0,0.0,---,---,---,---,---,---
19:05:2026,03:45,C,mm,km/h,mm,13,13,13,0.00,0.00,768.9,---,23,46,88,0.0,0.0,---,---,---,---,---,---
19:05:2026,04:00,C,mm,km/h,mm,13,13,13,0.00,0.00,768.9,---,23,46,88,0.0,0.0,---,---,---,---,---,---
