Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
20:05:2026,00:15,C,mm,km/h,mm,15,15,15,0.00,0.00,770.4,---,23,48,88,0.0,0.0,---,---,---,---,---,---
20:05:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,770.3,---,23,48,87,0.0,0.0,---,---,---,---,---,---
20:05:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,770.1,---,23,48,87,0.0,0.0,---,---,---,---,---,---
20:05:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,770.0,---,23,48,88,0.0,0.0,---,---,---,---,---,---
20:05:2026,01:15,C,mm,km/h,mm,15,15,15,0.00,0.00,770.1,---,23,49,88,0.0,0.0,---,---,---,---,---,---
20:05:2026,01:30,C,mm,km/h,mm,14,15,14,0.00,0.00,770.0,---,23,49,89,0.0,0.0,---,---,---,---,---,---
20:05:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,769.8,---,23,49,89,0.0,0.0,---,---,---,---,---,---
20:05:2026,02:00,C,mm,km/h,mm,14,14,14,0.00,0.00,770.0,---,23,49,90,0.0,0.0,---,---,---,---,---,---
20:05:2026,02:15,C,mm,km/h,mm,14,14,14,0.00,0.00,769.9,---,23,49,90,0.0,0.0,---,---,---,---,---,---
20:05:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,769.9,---,23,49,90,0.0,0.0,---,---,---,---,---,---
20:05:2026,02:45,C,mm,km/h,mm,13,14,13,0.00,0.00,770.0,---,23,49,92,0.0,0.0,---,---,---,---,---,---
20:05:2026,03:00,C,mm,km/h,mm,13,14,13,0.00,0.00,770.1,---,23,49,92,0.0,0.0,---,---,---,---,---,---
